场景,方法,Precision,Recall,F1,FAR,Token成本,端到端延迟秒,F1保持率
完整模态,Radar-only,0.0034,1.0,0.0068,0.9966,0,0.4,0.0068
完整模态,KG Fusion,0.1,1.0,0.1818,0.9,0,0.4,0.1818
完整模态,KG-Heuristic,1.0,1.0,1.0,0.0,0,0.4,1.0
完整模态,KG+LLM Agent,1.0,1.0,1.0,0.0,2500,18.6,1.0
缺失频谱,Radar-only,0.0034,1.0,0.0068,0.9966,0,0.4,0.0068
缺失频谱,KG Fusion,0,0,0,0,0,0.4,0
缺失频谱,KG-Heuristic,1.0,1.0,1.0,0.0,0,0.4,1.0
缺失频谱,KG+LLM Agent,1.0,1.0,1.0,0.0,2500,18.6,1.0
缺失视觉,Radar-only,0.0034,1.0,0.0068,0.9966,0,0.4,0.0068
缺失视觉,KG Fusion,0.1,1.0,0.1818,0.9,0,0.4,0.1818
缺失视觉,KG-Heuristic,1.0,1.0,1.0,0.0,0,0.4,1.0
缺失视觉,KG+LLM Agent,1.0,1.0,1.0,0.0,2500,18.6,1.0
仅雷达,Radar-only,0.0034,1.0,0.0068,0.9966,0,0.4,0.0068
仅雷达,KG Fusion,0,0,0,0,0,0.4,0
仅雷达,KG-Heuristic,1.0,1.0,1.0,0.0,0,0.4,1.0
仅雷达,KG+LLM Agent,1.0,1.0,1.0,0.0,2500,18.6,1.0
自然冲突,Radar-only,0.0034,1.0,0.0068,0.9966,0,0.4,0.0068
自然冲突,KG Fusion,0.1,1.0,0.1818,0.9,0,0.4,0.1818
自然冲突,KG-Heuristic,1.0,1.0,1.0,0.0,0,0.4,1.0
自然冲突,KG+LLM Agent,0,0,0,1,2500,18.6,0
重复频谱,Radar-only,0.0034,1.0,0.0068,0.9966,0,0.4,0.0068
重复频谱,KG Fusion,0.1,1.0,0.1818,0.9,0,0.4,0.1818
重复频谱,KG-Heuristic,1.0,1.0,1.0,0.0,0,0.4,1.0
重复频谱,KG+LLM Agent,1.0,1.0,1.0,0.0,2500,18.6,1.0
