节点ID,节点类型,节点名称,来源模态,device_id,line_no,time,target_id,local_target_id,model,target_type,longitude,latitude,altitude_m,speed_mps,signal_db,confidence,similarity,属性
dev_radar_1,设备,radar设备1,radar,1.0,,,,,,,,,,,,,,"{""device_id"":1}"
obs_radar_l1,观测帧,radar观测帧1,radar,,1.0,2026-04-14T12:46:30+08:00,,,,,,,,,,,,"{""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:46:28.275000+08:00"",""obs_time_ms"":1776170788275,""record_type"":""target""}"
tw_20260414_124630,时间窗口,tw_20260414_124630,system,,,,,,,,,,,,,,,"{""time_window_id"":""tw_20260414_124630""}"
tgt_radar_l1_t29,轨迹点,轨迹点:20:44:07 h=752m v=7.40m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,29.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t29"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:44:07.478000+08:00"",""local_target_id"":""29"",""local_track_id"":""track_radar_29"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":0,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":3.5179624557495117,""confidence"":null,""similarity"":null,""report_count"":41.0}}"
trk_track_radar_29,单设备轨迹,track_radar_29,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_29""}"
cls_bird,类别语义,类别:bird,system,,,,,,,bird,,,,,,,,"{""target_type"":""bird""}"
loc_radar_l1_t29,空间位置,"位置:112.753737,28.125280,752m",radar,,,,,,,,112.75373668612951,28.125279878699757,752.025390625,,,,,"{""longitude"":112.75373668612953,""latitude"":28.125279878699754,""altitude_m"":752.025390625,""relative_height_m"":null,""distance_m"":5382.8701171875,""azimuth_deg"":286.83837890625,""pitch_deg"":7.571000099182129}"
mot_radar_l1_t29,运动特征,运动:v=7.40m/s heading=15.6deg,radar,,,,,,,,,,,7.401315689086914,,,,"{""speed_mps"":7.401315689086914,""heading_deg"":15.6395263671875,""vx_mps"":1.2812283039093018,""vy_mps"":0.35867834091186523,""vz_mps"":-15.631917953491211,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t58,轨迹点,轨迹点:20:44:52 h=422m v=4.44m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,58.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t58"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:44:52.828000+08:00"",""local_target_id"":""58"",""local_track_id"":""track_radar_58"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":0,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":1.7821356058120728,""confidence"":null,""similarity"":null,""report_count"":28.0}}"
trk_track_radar_58,单设备轨迹,track_radar_58,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_58""}"
loc_radar_l1_t58,空间位置,"位置:112.765617,28.125826,422m",radar,,,,,,,,112.76561677848916,28.125825646646664,421.5779113769531,,,,,"{""longitude"":112.76561677848916,""latitude"":28.125825646646664,""altitude_m"":421.5779113769531,""relative_height_m"":null,""distance_m"":4304.12451171875,""azimuth_deg"":292.0999450683594,""pitch_deg"":5.111556053161621}"
mot_radar_l1_t58,运动特征,运动:v=4.44m/s heading=-4.1deg,radar,,,,,,,,,,,4.440789222717285,,,,"{""speed_mps"":4.440789222717285,""heading_deg"":-4.137426376342773,""vx_mps"":6.606966495513916,""vy_mps"":-0.4779313802719116,""vz_mps"":2.887838363647461,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t71,轨迹点,轨迹点:20:45:23 h=166m v=2.96m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,71.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t71"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:23.965000+08:00"",""local_target_id"":""71"",""local_track_id"":""track_radar_71"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":1,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":7.237457275390625,""confidence"":null,""similarity"":null,""report_count"":20.0}}"
trk_track_radar_71,单设备轨迹,track_radar_71,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_71""}"
loc_radar_l1_t71,空间位置,"位置:112.793857,28.109982,166m",radar,,,,,,,,112.79385747252633,28.10998198215866,166.4500274658203,,,,,"{""longitude"":112.79385747252631,""latitude"":28.10998198215866,""altitude_m"":166.4500274658203,""relative_height_m"":null,""distance_m"":1228.3775634765625,""azimuth_deg"":263.59002685546875,""pitch_deg"":6.0356292724609375}"
mot_radar_l1_t71,运动特征,运动:v=2.96m/s heading=103.3deg,radar,,,,,,,,,,,2.96052622795105,,,,"{""speed_mps"":2.96052622795105,""heading_deg"":103.29367065429688,""vx_mps"":-2.414402961730957,""vy_mps"":10.218689918518066,""vz_mps"":-4.266493320465088,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t74,轨迹点,轨迹点:20:45:27 h=233m v=5.92m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,74.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t74"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:27.490000+08:00"",""local_target_id"":""74"",""local_track_id"":""track_radar_74"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":4,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":25.061626434326172,""confidence"":null,""similarity"":null,""report_count"":19.0}}"
trk_track_radar_74,单设备轨迹,track_radar_74,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_74""}"
loc_radar_l1_t74,空间位置,"位置:112.790094,28.106253,233m",radar,,,,,,,,112.79009359986874,28.106253311510866,233.396484375,,,,,"{""longitude"":112.79009359986874,""latitude"":28.106253311510866,""altitude_m"":233.396484375,""relative_height_m"":null,""distance_m"":1682.201171875,""azimuth_deg"":250.9046173095703,""pitch_deg"":6.673566818237305}"
mot_radar_l1_t74,运动特征,运动:v=5.92m/s heading=147.7deg,radar,,,,,,,,,,,5.9210524559021,,,,"{""speed_mps"":5.9210524559021,""heading_deg"":147.71054077148438,""vx_mps"":-6.91100549697876,""vy_mps"":4.367176532745361,""vz_mps"":0.9609534740447998,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t75,轨迹点,轨迹点:20:45:28 h=162m v=11.84m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,75.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t75"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:28.258000+08:00"",""local_target_id"":""75"",""local_track_id"":""track_radar_75"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":1,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":4.905200958251953,""confidence"":null,""similarity"":null,""report_count"":18.0}}"
trk_track_radar_75,单设备轨迹,track_radar_75,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_75""}"
loc_radar_l1_t75,空间位置,"位置:112.799076,28.115958,162m",radar,,,,,,,,112.7990758334066,28.115957744833853,162.0523681640625,,,,,"{""longitude"":112.79907583340659,""latitude"":28.115957744833853,""altitude_m"":162.0523681640625,""relative_height_m"":null,""distance_m"":882.4397583007812,""azimuth_deg"":306.5143737792969,""pitch_deg"":8.093164443969727}"
mot_radar_l1_t75,运动特征,运动:v=11.84m/s heading=156.9deg,radar,,,,,,,,,,,11.8421049118042,,,,"{""speed_mps"":11.8421049118042,""heading_deg"":156.90463256835938,""vx_mps"":-13.04456901550293,""vy_mps"":5.5627312660217285,""vz_mps"":0.631804347038269,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t79,轨迹点,轨迹点:20:45:33 h=419m v=5.92m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,79.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t79"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:33.972000+08:00"",""local_target_id"":""79"",""local_track_id"":""track_radar_79"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":0,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":2.7565581798553467,""confidence"":null,""similarity"":null,""report_count"":17.0}}"
trk_track_radar_79,单设备轨迹,track_radar_79,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_79""}"
loc_radar_l1_t79,空间位置,"位置:112.805896,28.084039,419m",radar,,,,,,,,112.80589602462535,28.084039416663504,419.1423950195313,,,,,"{""longitude"":112.80589602462537,""latitude"":28.084039416663504,""altitude_m"":419.14239501953125,""relative_height_m"":null,""distance_m"":3012.510009765625,""azimuth_deg"":180.7769012451172,""pitch_deg"":7.237510681152344}"
mot_radar_l1_t79,运动特征,运动:v=5.92m/s heading=90.9deg,radar,,,,,,,,,,,5.9210524559021,,,,"{""speed_mps"":5.9210524559021,""heading_deg"":90.9087142944336,""vx_mps"":-0.12047195434570312,""vy_mps"":7.595340251922607,""vz_mps"":-12.25887393951416,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t80,轨迹点,轨迹点:20:45:33 h=180m v=5.92m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,80.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t80"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:33.974000+08:00"",""local_target_id"":""80"",""local_track_id"":""track_radar_80"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":0,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":2.403120517730713,""confidence"":null,""similarity"":null,""report_count"":17.0}}"
trk_track_radar_80,单设备轨迹,track_radar_80,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_80""}"
loc_radar_l1_t80,空间位置,"位置:112.803936,28.074071,180m",radar,,,,,,,,112.80393605516522,28.074071179418308,179.533203125,,,,,"{""longitude"":112.80393605516522,""latitude"":28.074071179418308,""altitude_m"":179.533203125,""relative_height_m"":null,""distance_m"":4123.52587890625,""azimuth_deg"":183.23928833007812,""pitch_deg"":1.9856570959091187}"
mot_radar_l1_t80,运动特征,运动:v=5.92m/s heading=155.9deg,radar,,,,,,,,,,,5.9210524559021,,,,"{""speed_mps"":5.9210524559021,""heading_deg"":155.9003448486328,""vx_mps"":-20.109405517578125,""vy_mps"":8.995223045349121,""vz_mps"":-5.234146595001221,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t81,轨迹点,轨迹点:20:45:34 h=230m v=1.48m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,81.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t81"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:34.091000+08:00"",""local_target_id"":""81"",""local_track_id"":""track_radar_81"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":0,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":4.101625442504883,""confidence"":null,""similarity"":null,""report_count"":17.0}}"
trk_track_radar_81,单设备轨迹,track_radar_81,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_81""}"
loc_radar_l1_t81,空间位置,"位置:112.797856,28.072285,230m",radar,,,,,,,,112.79785572720742,28.07228532747661,230.12667846679688,,,,,"{""longitude"":112.79785572720742,""latitude"":28.07228532747661,""altitude_m"":230.12667846679688,""relative_height_m"":null,""distance_m"":4393.763671875,""azimuth_deg"":190.87728881835938,""pitch_deg"":2.5223968029022217}"
mot_radar_l1_t81,运动特征,运动:v=1.48m/s heading=168.3deg,radar,,,,,,,,,,,1.480263113975525,,,,"{""speed_mps"":1.480263113975525,""heading_deg"":168.3043212890625,""vx_mps"":-24.090396881103516,""vy_mps"":4.986990928649902,""vz_mps"":-5.574622631072998,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t87,轨迹点,轨迹点:20:45:48 h=299m v=14.80m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,87.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t87"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:48.807000+08:00"",""local_target_id"":""87"",""local_track_id"":""track_radar_87"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":1,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":19.694110870361328,""confidence"":null,""similarity"":null,""report_count"":13.0}}"
trk_track_radar_87,单设备轨迹,track_radar_87,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_87""}"
loc_radar_l1_t87,空间位置,"位置:112.793137,28.111881,299m",radar,,,,,,,,112.79313681423136,28.111880775736285,298.6061706542969,,,,,"{""longitude"":112.79313681423135,""latitude"":28.111880775736285,""altitude_m"":298.6061706542969,""relative_height_m"":null,""distance_m"":1293.3837890625,""azimuth_deg"":273.24884033203125,""pitch_deg"":11.452957153320312}"
mot_radar_l1_t87,运动特征,运动:v=14.80m/s heading=3.2deg,radar,,,,,,,,,,,14.802631378173828,,,,"{""speed_mps"":14.802631378173828,""heading_deg"":3.1685659885406494,""vx_mps"":12.379359245300293,""vy_mps"":0.6853009462356567,""vz_mps"":0.38654598593711853,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
tgt_radar_l1_t88,轨迹点,轨迹点:20:45:53 h=560m v=7.40m/s,radar,,1.0,2026-04-14T12:46:30+08:00,,88.0,,bird,,,,,,,,"{""record_id"":""radar_l1_t88"",""line_no"":1,""line_time_beijing"":""2026-04-14T12:46:30+08:00"",""obs_time_beijing"":""2026-04-14T20:45:53.204000+08:00"",""local_target_id"":""88"",""local_track_id"":""track_radar_88"",""global_identity"":null,""target_type"":""bird"",""target_type_code"":5,""model"":null,""quality"":{""alarm_level"":0,""is_white_list"":false,""trusted_for_fusion"":true,""trust_reason"":null,""magic_ok"":true,""length_ok"":true,""snr"":3.378905773162842,""confidence"":null,""similarity"":null,""report_count"":11.0}}"
trk_track_radar_88,单设备轨迹,track_radar_88,radar,,,,,,,,,,,,,,,"{""local_track_id"":""track_radar_88""}"
loc_radar_l1_t88,空间位置,"位置:112.819478,28.176921,560m",radar,,,,,,,,112.81947799604674,28.176920819199523,560.108642578125,,,,,"{""longitude"":112.81947799604674,""latitude"":28.176920819199523,""altitude_m"":560.108642578125,""relative_height_m"":null,""distance_m"":7394.57958984375,""azimuth_deg"":10.042765617370605,""pitch_deg"":4.049801826477051}"
mot_radar_l1_t88,运动特征,运动:v=7.40m/s heading=-170.8deg,radar,,,,,,,,,,,7.401315689086914,,,,"{""speed_mps"":7.401315689086914,""heading_deg"":-170.76612854003906,""vx_mps"":-11.265832901000977,""vy_mps"":-1.831502079963684,""vz_mps"":17.090110778808594,""ve_mps"":null,""vn_mps"":null,""vu_mps"":null,""vx"":null,""vy"":null,""physical_vx"":null,""physical_vy"":null,""move_direction"":null}"
